101
71,43
70,71
7,74
87,49
62,8
50,81
59,68
0,44
19,24
56,76
74,55
65,2
57,84
15,68
3,54
49,14
55,59
73,48
37,7
90,20
78,101
76,11
51,91
90,101
56,20
12,22
30,85
0,57
55,30
62,35
8,26
50,43
44,34
1,56
45,68
50,92
74,10
0,36
34,82
6,68
6,53
7,80
38,7
8,43
87,72
13,59
37,76
84,92
91,27
7,90
61,18
7,50
27,46
46,11
54,101
100,27
79,97
62,21
85,12
97,64
34,42
16,60
3,43
33,101
56,23
48,21
24,58
91,6
92,31
16,74
83,84
75,49
71,56
0,77
83,7
77,67
24,37
52,46
52,51
92,47
98,101
23,74
51,62
57,28
80,101
59,70
55,90
35,1
31,96
93,75
87,101
35,101
10,64
73,70
94,89
75,95
32,86
62,80
55,40
33,59
12,6
3,68
55,67
19,58
45,14
78,98
80,95
84,6
10,16
7,33
45,43
79,51
47,23
19,2
69,88
59,37
72,38
80,69
66,60
23,28
84,88
70,91
2,44
85,16
21,47
29,35
0,64
0,5
16,43
2,39
94,1
89,80
50,68
60,28
74,58
74,25
12,92
57,46
26,80
28,100
6,7
21,13
87,35
48,67
96,12
67,17
4,19
52,97
52,4
2,54
18,23
0,96
43,10
21,59
61,101
28,52
8,53
14,40
39,19
18,38
85,9
52,34
63,13
42,83
17,15
97,99
0,88
97,101
42,6
48,5
0,62
59,72
7,49
72,46
56,4
54,19
6,55
43,20
68,49
0,99
51,24
71,5
94,70
32,35
