2501
899,2102
1734,1155
2039,1633
1390,1852
1694,1579
1345,1774
1697,1154
1292,2002
2237,1377
392,770
967,907
270,763
1354,1166
1884,452
973,829
2426,983
2123,2414
941,269
1373,1289
209,2492
1094,207
1112,2007
1561,2130
2312,559
2076,1980
1437,515
1295,1274
652,496
624,2035
1117,1551
1567,138
1030,1297
381,2424
431,459
2376,2460
1222,736
84,2471
1393,2246
513,2450
1597,2462
700,1304
1002,170
1812,1642
317,1937
2463,1968
1442,313
648,1526
1808,1753
2105,2057
1138,610
1909,1984
1198,244
591,1271
1315,2106
323,1227
773,776
844,2421
126,567
474,827
1141,19
1934,1275
652,1826
374,728
1555,621
1543,1668
465,327
173,477
181,1406
727,460
1601,1731
2236,849
1782,583
1590,1288
413,808
1305,689
466,1727
1923,2188
1797,2235
1477,155
1329,284
1525,518
1874,1269
1242,2249
2025,2417
1307,802
2239,2328
1276,2386
2006,1618
742,5
1912,220
906,2124
2112,2088
2466,314
176,1940
901,1022
1843,1207
2457,206
2311,2379
518,425
777,1134
139,648
1746,1081
2058,956
2423,1542
1789,2378
949,1214
502,2453
356,999
1187,2026
1059,2494
1284,460
1551,2334
2263,2450
945,1064
1684,1538
431,53
86,1829
348,878
1275,1229
589,1929
1710,1741
1743,109
926,2212
1959,643
432,477
2053,539
303,1766
855,1070
562,1697
1275,321
383,1534
71,1485
1578,1521
2246,666
1334,1745
422,874
1643,1114
91,844
1356,1800
297,607
1897,2012
136,1816
1691,87
929,809
277,1020
1289,1095
1012,1568
537,1540
1541,2223
1669,1308
1616,1477
1219,1197
1985,222
626,1164
340,91
1734,113
1793,297
297,1506
929,2251
2284,396
1989,548
1807,783
2154,1226
1416,2501
1738,2047
1402,1339
1636,770
1987,783
2141,2
152,841
686,1707
2493,1170
1023,1317
1834,795
1702,882
469,983
1154,491
594,1851
2196,56
1639,862
1992,2120
2393,642
220,90
923,629
2393,1047
826,296
2101,1790
594,565
858,1512
1912,2114
2301,700
1987,1212
1440,2359
1057,2113
334,895
521,567
2469,520
924,2501
1924,559
542,793
2142,1765
1378,2406
1133,402
1244,1527
501,475
733,730
290,2350
709,1972
1989,426
533,2183
947,171
1311,2074
1277,1048
1475,822
1987,1189
751,4
826,1523
1563,1248
2243,400
596,1458
2319,594
703,505
1210,1562
748,808
2184,1859
93,1853
196,3
2223,839
2122,1416
645,176
1582,295
1218,1050
2419,827
150,2154
2086,1790
30,1379
1105,454
471,1652
2136,1090
2284,631
1633,559
185,961
229,967
994,297
525,1216
2093,2363
1876,447
1358,1132
942,465
1173,1253
1824,1975
2164,72
1112,1055
1264,607
563,380
787,1365
2377,849
1852,1060
343,1427
889,2139
304,2003
2066,1075
1978,1220
564,1663
1843,564
2034,2193
670,1588
336,1362
1518,697
1712,2096
2107,1500
1431,1543
2103,832
1868,1433
2366,2466
1672,1669
1070,1862
1194,2407
1735,322
1774,663
1140,1342
1371,319
1376,1815
762,473
764,1659
1291,1116
170,2404
1768,1457
1313,1630
930,1748
872,260
2234,771
2241,1197
2254,308
571,2501
1147,1517
557,272
2143,1412
482,2314
740,918
2246,1619
900,1318
569,783
1764,2348
750,1011
1367,1611
222,2359
1119,2225
515,228
2102,2209
2062,611
708,1980
2383,1778
1242,133
791,1466
2310,504
