19801
236,19222
14283,7829
4317,6712
8022,19520
5699,15993
1354,15694
0,10721
17879,3941
9684,9471
16019,4010
16205,856
15313,8410
10303,11307
14148,14266
11661,11494
6417,13053
15925,3561
5507,8819
13370,14256
6852,17815
817,13387
7289,12618
9889,2838
14697,16453
17237,5261
8809,14790
14819,10162
11371,8362
7311,11379
12332,16001
8412,6487
11938,13186
14543,13474
14770,1816
19697,19392
3723,16119
1767,6575
2353,8062
9664,17758
14927,11817
10549,4540
5981,16686
12618,2159
7112,11049
18379,13591
8851,14662
7567,14832
4997,7116
2537,10773
11996,18779
12781,77
10950,19392
17475,6287
7720,11701
12362,5574
1297,2564
18517,1487
0,2890
17262,15358
19541,13984
3743,4330
9274,10928
13154,18717
9721,3733
6717,4674
6461,5094
10750,3932
10966,843
3022,779
10141,7653
4167,12761
3233,7656
14507,18982
3075,2532
8220,8666
2906,7250
5584,5244
17511,11725
1886,7211
1014,17566
8214,11161
13649,7858
3277,1434
10939,11505
16224,10457
15530,11043
1859,3035
18078,17984
18164,4636
2865,19555
17268,14881
1000,6063
10770,13812
4554,11637
14772,4831
18415,9225
7796,5476
15369,10993
14244,7660
10340,18060
18240,18748
14735,1994
7310,4739
6582,5294
2003,9531
16696,11173
19229,15883
15599,11542
16892,6846
10301,11760
19206,10102
391,9290
17058,18946
7720,8348
4859,7424
17626,4162
8961,14263
14359,5147
8130,4223
17517,7776
18345,19311
332,14467
9322,13812
14413,6552
9074,2918
18612,8355
5367,12552
2816,15922
1991,4392
15569,19389
11894,12470
876,880
19444,18887
17231,1547
7793,14853
13274,936
171,10965
4262,12728
355,3849
3606,8991
18026,5058
2397,4429
2680,16750
9408,8889
14882,9396
1679,1534
623,4901
18937,3899
2486,18468
3998,4553
2447,8807
10548,16115
11631,12033
8150,842
6915,17055
8339,11389
3767,11236
18156,10897
8595,3493
17384,13020
6957,12528
9926,10203
5858,14808
6874,158
3467,11858
13956,19352
2077,9935
13921,4223
8877,17125
14101,11810
3949,6413
12503,8087
7752,4549
14716,6212
15303,6305
13956,10185
1861,8070
10101,19331
18568,2901
19130,6860
14437,15496
15946,11677
358,515
2101,6858
3827,10869
8900,15777
13870,18220
7983,16105
9807,15460
8786,10284
17954,3702
19322,5209
13467,17793
9545,19569
9541,245
137,17749
10553,318
16598,13740
9088,2386
7162,2331
10968,2235
4103,4906
11748,203
17088,10711
19165,9080
12007,5641
467,15155
11779,12253
13108,760
13048,1781
18349,5876
2970,14706
11469,12191
14403,18005
6798,5595
17570,6643
6419,12564
8362,17774
13583,13884
12348,19296
7275,19603
13873,14351
16977,11130
6080,1527
12650,12538
19162,13810
789,5241
18766,10223
13058,11904
15899,11499
5262,15134
15497,19477
6026,19457
17842,8365
3525,18524
866,6391
14565,13726
18986,12580
12571,503
1978,15503
1676,8885
602,240
1133,1408
15980,12796
19022,5930
18015,6692
5659,9254
17674,17909
13914,8510
18546,11101
13742,5570
13946,18117
155,13430
11526,4356
5390,19801
7242,12071
15091,18761
11253,683
19393,4628
17532,14007
18163,10367
15351,19630
1064,8362
10483,4868
2335,6741
11316,9006
0,14694
1173,16883
12715,292
10349,17751
6294,2328
2071,14653
19536,9347
13797,7746
10284,19801
856,3505
15682,2927
9385,5532
10354,6053
18475,18700
